Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0603_1608Metric",11.800000,-14.800000,0.000000,bottom
"C2","100nF","C_0603_1608Metric",8.300000,-14.800000,180.000000,bottom
"C3","10uF","C_0805_2012Metric",15.500000,-14.800000,0.000000,bottom
"C4","100nF","C_0603_1608Metric",17.800000,-48.000000,0.000000,bottom
"C5","100nF","C_0603_1608Metric",27.700000,-10.300000,-90.000000,bottom
"C6","100nF","C_0603_1608Metric",11.850000,-60.800000,0.000000,bottom
"C7","100nF","C_0603_1608Metric",15.500000,-60.800000,0.000000,bottom
"C8","100nF","C_0603_1608Metric",72.000000,-11.800000,180.000000,bottom
"C9","100nF","C_0603_1608Metric",66.000000,-14.300000,90.000000,bottom
"C10","10uf","C_0805_2012Metric",69.800000,-16.300000,0.000000,bottom
"C12","4.7uF","C_0805_2012Metric",63.000000,-9.900000,0.000000,bottom
"C13","100nF","C_0603_1608Metric",28.500000,-79.000000,180.000000,bottom
"C37","1uF 10V X7R","C_0603_1608Metric",30.000000,-14.000000,180.000000,bottom
"C38","1uF 10V X7R","C_0603_1608Metric",40.200000,-14.000000,0.000000,bottom
"C40","100 nF X7R","C_0603_1608Metric",30.700000,-11.200000,90.000000,bottom
"C42","100 nF X7R","C_0603_1608Metric",39.500000,-11.200000,-90.000000,bottom
"C43","4.7uF","C_0805_2012Metric",33.500000,-83.150000,180.000000,bottom
"C44","1uF","C_0805_2012Metric",46.900000,-85.200000,0.000000,bottom
"C56","1uF","C_0603_1608Metric",46.100000,-82.500000,0.000000,bottom
"D8","NSR0240","D_SOD-323",43.000000,-85.200000,180.000000,bottom
"J2","Molex_5025700893","Molex_5025700893",16.000000,-146.700000,0.000000,bottom
"J4","JST-PH-2 BATTERY","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",58.000000,-82.500000,0.000000,bottom
"J5","COMMUNITY_HEADER_2x13","Samtec_TSW-113-08-G-D-RA",37.000000,0.000000,180.000000,bottom
"J6","JST-PH-2 SPEAKER","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",62.000000,-21.000000,0.000000,bottom
"L3","4.7uH","Coilcraft_XFL4020",38.000000,-83.150000,0.000000,bottom
"MK1","ICS-43434","InvenSense_ICS-43434-6_3.5x2.65mm",71.500000,-8.500000,0.000000,bottom
"Q1","AO3400A","SOT-23",59.000000,-7.300000,0.000000,bottom
"R1","10k","R_0603_1608Metric",15.500000,-10.500000,0.000000,bottom
"R2","10k","R_0603_1608Metric",22.000000,-37.500000,0.000000,bottom
"R3","10k","R_0603_1608Metric",18.200000,-43.000000,0.000000,bottom
"R4","10k","R_0603_1608Metric",8.000000,-50.500000,0.000000,bottom
"R5","10k","R_0603_1608Metric",11.500000,-50.500000,0.000000,bottom
"R6","10k","R_0603_1608Metric",14.800000,-50.500000,0.000000,bottom
"R7","10k","R_0603_1608Metric",18.200000,-50.500000,0.000000,bottom
"R8","10k","R_0603_1608Metric",8.000000,-53.000000,0.000000,bottom
"R9","10k","R_0603_1608Metric",11.500000,-53.000000,0.000000,bottom
"R10","10k","R_0603_1608Metric",14.800000,-53.000000,0.000000,bottom
"R11","10K","R_0603_1608Metric",18.200000,-45.500000,0.000000,bottom
"R12","100k","R_0603_1608Metric",18.200000,-40.500000,0.000000,bottom
"R13","100k","R_0603_1608Metric",18.200000,-53.000000,0.000000,bottom
"R14","100k","R_0603_1608Metric",8.000000,-54.900000,0.000000,bottom
"R15","100k","R_0603_1608Metric",11.500000,-54.900000,0.000000,bottom
"R16","100k","R_0603_1608Metric",14.800000,-54.900000,0.000000,bottom
"R17","100k","R_0603_1608Metric",44.000000,-9.350000,0.000000,bottom
"R18","220R","R_0603_1608Metric",15.800000,-63.500000,0.000000,bottom
"R19","4.7k","R_0603_1608Metric",8.000000,-37.200000,0.000000,bottom
"R20","4.7k","R_0603_1608Metric",11.500000,-37.200000,0.000000,bottom
"R22","100R","R_0603_1608Metric",59.300000,-11.400000,180.000000,bottom
"R23","100K","R_0603_1608Metric",58.400000,-13.700000,0.000000,bottom
"R24","18R","R_0805_2012Metric",63.000000,-7.000000,0.000000,bottom
"R26","10k","R_0603_1608Metric",32.000000,-79.000000,180.000000,bottom
"R47","22R 1%","R_0603_1608Metric",36.900000,-14.000000,0.000000,bottom
"R48","22R 1%","R_0603_1608Metric",33.500000,-14.000000,180.000000,bottom
"R49","4.7k DNP","R_0603_1608Metric",47.600000,-11.000000,90.000000,bottom
"R50","4.7k DNP","R_0603_1608Metric",49.600000,-11.000000,90.000000,bottom
"R69","2.55R","R_0603_1608Metric",42.500000,-79.800000,0.000000,bottom
"R70","39R","R_0603_1608Metric",50.400000,-84.900000,180.000000,bottom
"R71","39R","R_0603_1608Metric",50.400000,-83.000000,180.000000,bottom
"R72","39R","R_0603_1608Metric",50.400000,-81.100000,180.000000,bottom
"R73","39R","R_0603_1608Metric",50.400000,-79.200000,180.000000,bottom
"SW1","BOOT","SW_SPST_PTS645Sx43SMTR92",6.000000,-70.000000,0.000000,bottom
"U1","ESP32-S3-WROOM-1","ESP32-S3-WROOM-1",12.750000,-26.000000,-90.000000,bottom
"U2","TCA9535PWR","TSSOP-24_4.4x7.8mm_P0.65mm",12.000000,-44.000000,0.000000,bottom
"U3","TCA9535PWR","TSSOP-24_4.4x7.8mm_P0.65mm",22.000000,-12.300000,90.000000,bottom
"U4","BMI270","Bosch_LGA-14_2.5x3.0mm_P0.5mm_BMI270",12.100000,-63.500000,0.000000,bottom
"U5","MAX98357A","TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm",62.500000,-14.800000,-90.000000,bottom
"U7","E07-400M10S","Ebyte_E07-400M10S",55.500000,-146.500000,90.000000,bottom
"U8","E22-900M22S","Ebyte_E22-900M22S",65.000000,-128.000000,0.000000,bottom
"U15","TPS22918","SOT-23-6",44.000000,-12.000000,0.000000,bottom
"U16","TCA9517ADGK","VSSOP-8_3x3mm_P0.65mm",35.000000,-11.200000,0.000000,bottom
"U17","TPS61169DCKR","SOT-353_SC-70-5",43.000000,-82.500000,0.000000,bottom
"C11","4.7uF","C_0805_2012Metric",67.800000,-8.199999,180.000000,top
"C14","100nF","C_0603_1608Metric",16.500000,-149.600000,0.000000,top
"C15","10uF","C_0805_2012Metric",16.500000,-147.000000,0.000000,top
"C16","100nF","C_0603_1608Metric",60.960000,-141.500000,0.000000,top
"C17","100nF","C_0603_1608Metric",70.800000,-133.500000,0.000000,top
"C18","100nF","C_0402_1005Metric",19.000000,-20.250000,0.000000,top
"C19","100nF","C_0402_1005Metric",19.000000,-25.950000,0.000000,top
"C20","4.7uF 10V X7R","C_0805_2012Metric",35.000000,-144.500000,0.000000,top
"C21","100pF DNP","C_0603_1608Metric",30.500000,-142.400000,0.000000,top
"C22","100pF DNP","C_0603_1608Metric",39.500000,-142.400000,0.000000,top
"C23","1uF 25V X7R","C_0603_1608Metric",70.000000,-66.000000,0.000000,top
"C24","22uF 25V X7R","C_0603_1608Metric",64.000000,-70.000000,0.000000,top
"C25","1uF 10V X7R","C_0603_1608Metric",64.000000,-72.300000,0.000000,top
"C26","10uF 10V X7R","C_1206_3216Metric",65.000000,-46.000000,0.000000,top
"C27","10uF 10V X7R","C_1206_3216Metric",70.500000,-46.000000,0.000000,top
"C28","100nF X7R","C_0603_1608Metric",63.800000,-64.300000,0.000000,top
"C29","22uF 10V X7R","C_1206_3216Metric",65.000000,-58.500000,0.000000,top
"C30","22uF 10V X7R","C_1206_3216Metric",70.500000,-58.500000,0.000000,top
"C31","22uF 10V X7R","C_1206_3216Metric",65.000000,-61.500000,0.000000,top
"C32","22uF 10V X7R","C_1206_3216Metric",70.500000,-61.500000,0.000000,top
"C33","10uF 10V X7R","C_0805_2012Metric",64.200000,-74.600000,0.000000,top
"C34","22uF 10V X7R","C_0805_2012Metric",64.000000,-27.800000,0.000000,top
"C35","22uF 10V X7R","C_0805_2012Metric",69.000000,-27.800000,0.000000,top
"C36","100nF X7R","C_0603_1608Metric",67.200000,-64.300000,0.000000,top
"C39","100nF X7R","C_0603_1608Metric",46.300000,-9.900000,0.000000,top
"C45","2.2uF","C_0805_2012Metric",10.000000,-21.400000,0.000000,top
"C46","10nF","C_0603_1608Metric",19.000000,-22.150000,0.000000,top
"C47","2.2uF","C_0805_2012Metric",10.000000,-23.800000,0.000000,top
"C48","10nF","C_0603_1608Metric",19.000000,-24.050000,0.000000,top
"C49","2.2uF","C_0805_2012Metric",10.000000,-26.200000,0.000000,top
"C50","10nF","C_0603_1608Metric",22.000000,-26.900000,0.000000,top
"C51","2.2uF","C_0805_2012Metric",10.000000,-28.600000,0.000000,top
"C52","1nF","C_0603_1608Metric",25.400000,-26.900000,0.000000,top
"C53","1uF","C_0603_1608Metric",24.200000,-17.100000,0.000000,top
"C54","10nF","C_0603_1608Metric",26.900000,-17.100000,90.000000,top
"C55","2.2uF","C_0603_1608Metric",22.225000,-29.400000,-90.000000,top
"D1","TSAL6200","LED_D5.0mm",59.500000,-4.000000,0.000000,top
"D2","TPD2E009DBZR","SOT-23",10.800000,-6.400000,0.000000,top
"D3","TPD4E1B06DRLR","SOT-563",50.000000,-9.900000,0.000000,top
"D4","TPD4E1B06DRLR","SOT-563",39.300000,-9.900000,0.000000,top
"D5","TPD4E1B06DRLR","SOT-563",35.500000,-9.900000,0.000000,top
"D6","TPD4E1B06DRLR","SOT-563",31.750000,-9.900000,0.000000,top
"D7","TPD2E009DBZR","SOT-23",10.800000,-2.600000,0.000000,top
"J1","CH280QV10-CT_50P","Hirose_FH69-50S-0.5SH",37.500000,-80.150000,0.000000,top
"J3","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",35.000000,-151.325000,0.000000,top
"L1","1.5uH","Coilcraft_XFL4020",70.500000,-51.000000,0.000000,top
"L2","1uH","Wurth_WE-MAPI_4030_74438357010",69.500000,-32.000000,180.000000,top
"R21","100R","R_0603_1608Metric",69.800000,-10.600000,0.000000,top
"R25","10k","R_0603_1608Metric",13.000000,-149.600000,0.000000,top
"R27","10k","R_0603_1608Metric",59.500000,-127.100000,0.000000,top
"R28","10k","R_0603_1608Metric",58.500000,-153.000000,0.000000,top
"R29","10k","R_0603_1608Metric",20.800000,-17.100000,0.000000,top
"R30","5.1k","R_0603_1608Metric",31.000000,-144.800000,0.000000,top
"R31","5.1k","R_0603_1608Metric",39.000000,-144.800000,0.000000,top
"R32","0R","R_0603_1608Metric",43.500000,-146.500000,0.000000,top
"R33","22R","R_0603_1608Metric",30.500000,-139.800000,0.000000,top
"R34","22R","R_0603_1608Metric",39.500000,-139.800000,0.000000,top
"R35","0R","R_0603_1608Metric",26.000000,-144.800000,0.000000,top
"R36","18k 1%","R_0603_1608Metric",69.500000,-70.000000,0.000000,top
"R37","1k 1%","R_0603_1608Metric",69.500000,-72.300000,0.000000,top
"R38","10k 1%","R_0603_1608Metric",69.500000,-74.600000,0.000000,top
"R39","1M 1%","R_0603_1608Metric",64.000000,-55.500000,0.000000,top
"R40","180K 1%","R_0603_1608Metric",67.500000,-55.500000,0.000000,top
"R41","1M","R_0603_1608Metric",64.000000,-43.000000,0.000000,top
"R42","0R","R_0603_1608Metric",67.500000,-43.000000,0.000000,top
"R43","100K","R_0603_1608Metric",5.500000,-66.000000,0.000000,top
"R44","732k 1%","R_0603_1608Metric",64.000000,-35.500000,0.000000,top
"R45","100k 1%","R_0603_1608Metric",64.000000,-37.800000,0.000000,top
"R46","100k 1%","R_0603_1608Metric",42.900000,-9.900000,0.000000,top
"R51","100R 1%","R_0603_1608Metric",51.000000,-12.000000,0.000000,top
"R52","100R 1%","R_0603_1608Metric",51.000000,-13.900000,0.000000,top
"R53","100R 1%","R_0603_1608Metric",47.600000,-12.000000,0.000000,top
"R54","100R 1%","R_0603_1608Metric",47.600000,-13.900000,0.000000,top
"R55","100R 1%","R_0603_1608Metric",44.200000,-12.000000,0.000000,top
"R56","100R 1%","R_0603_1608Metric",44.200000,-13.900000,0.000000,top
"R57","100R 1%","R_0603_1608Metric",40.800000,-12.000000,0.000000,top
"R58","100R 1%","R_0603_1608Metric",40.800000,-13.900000,0.000000,top
"R59","100R 1%","R_0603_1608Metric",37.400000,-12.000000,0.000000,top
"R60","100R 1%","R_0603_1608Metric",37.400000,-13.900000,0.000000,top
"R61","100R 1%","R_0603_1608Metric",34.000000,-12.000000,0.000000,top
"R62","100R 1%","R_0603_1608Metric",34.000000,-13.900000,0.000000,top
"R63","100R 1%","R_0603_1608Metric",30.600000,-12.000000,0.000000,top
"R64","100R 1%","R_0603_1608Metric",30.600000,-13.900000,0.000000,top
"R66","330R 1%","R_0603_1608Metric",24.400000,-12.000000,0.000000,top
"R67","470R 1%","R_0603_1608Metric",24.400000,-13.900000,0.000000,top
"R68","0R DNP","R_0603_1608Metric",9.500000,-66.000000,0.000000,top
"R74","100k","R_0603_1608Metric",70.800000,-129.699999,0.000000,top
"SW2","UP","SW_SPST_PTS645Sx43SMTR92",24.000000,-104.000000,0.000000,top
"SW3","DOWN","SW_SPST_PTS645Sx43SMTR92",24.000000,-125.000000,0.000000,top
"SW4","LEFT","SW_SPST_PTS645Sx43SMTR92",13.500000,-114.500000,0.000000,top
"SW5","RIGHT","SW_SPST_PTS645Sx43SMTR92",34.500000,-114.500000,0.000000,top
"SW6","A_SELECT","SW_SPST_PTS645Sx43SMTR92",47.000000,-122.500000,0.000000,top
"SW7","B_BACK","SW_SPST_PTS645Sx43SMTR92",60.000000,-119.500000,0.000000,top
"SW8","HOME","SW_SPST_PTS645Sx43SMTR92",48.000000,-138.500000,0.000000,top
"SW9","SW_SPDT","SW_SPDT_CK_JS102011SAQN",6.500000,-59.500000,0.000000,top
"U6","TSOP38238","Vishay_TSOP382xx_Minicast_3Pin_P2.54mm",68.500000,-4.500000,0.000000,top
"U9","ST25R3916-AQET","ST25R3916_AQET",24.500000,-22.250000,0.000000,top
"U10","USBLC6-2SC6","SOT-23-6",35.000000,-141.300000,90.000000,top
"U11","BQ25185","Texas_DLH0010A_WSON-10-1EP_2.2x2mm_P0.4mm_EP0.9x1.5mm",65.000000,-67.000000,0.000000,top
"U12","TPS63020","TI_TPS63020_DSJ",65.500000,-51.000000,0.000000,top
"U13","TPS61023","SOT-563",64.500000,-32.000000,0.000000,top
"U14","MAX17048","MAX17048_T822",64.500000,-80.500000,0.000000,top
